topgroup,1. Value,2. Popular,3. Premium,4. Luxury,5. Icon,all
amphibian/reptile,,15.32333333,37.27,73.055,610,66.4795
bat,,,26.99,,,26.99
bear,,17.234,36.1975,62.92,119.94,37.24066667
big cat,9.99,16.85666667,30.85074074,71.51387097,511.8691304,123.0710769
bird,8.685,15.94180851,30.15597403,70.29282051,267.3145455,47.28316294
camelus,,16.49,32.4,,,27.09666667
cattle,9.99,15.71857143,25.97,76.91,187.465,46.38458333
crustacean,,13.88,39.08,,,22.28
deer-like,,16.082,30.53363636,70.84333333,189.99,47.37740741
domestic cat,6.99,12.99,31.76,,161.99,42.59625
domestic dog,7.99,14.59111111,27.71363636,68.34,1049.745,154.6529412
elephant,,16.99,24.892,62.99,1514,324.943
fish,,15.8225,29.0065,54.97,,25.88058824
hippopotamus,,15.99,,,,15.99
horse,8.99,15.43892857,35.5036,67.77272727,122.3133333,35.5115942
insect,8.99,15.35277778,28.70933333,69.046,117.45,33.96688525
marsupial,7.906666667,,39.99,,,15.9275
monkey,,18.745,25.37,85.99,,34.844
mustelid-like,,16.99,23.99,,144.49,52.365
mythical,,17.14857143,31.6175,74.32769231,478.69,112.1456338
none,8.858454545,16.51725926,31.84079749,69.63208612,303.9470183,60.75544929
rabbit,,15.53,32.38714286,91.67,199.495,55.67785714
ram-like,8.5,16.4955,28.446875,57.66666667,174.66,34.66372093
rhino,,,26.05333333,,179.99,64.5375
rodent-like,,16.67,29.55666667,,,26.335
shell,8.95,13.975,30.18555556,,124.17,33.28769231
suid,,14.90666667,30.68818182,74.99,124.99,30.53227273
whale/shark/dolphin,,16.12142857,26.58,,,19.92454545
wild dog,,14.99,30.59,81.526,,34.91933333
all,8.854573643,16.43274154,31.68500756,69.75687962,314.9079648,61.143833