topgroup,priceBucket,percent,count
amphibian/reptile,value,0,0
amphibian/reptile,popular,30,6
amphibian/reptile,premium,45,9
amphibian/reptile,luxury,20,4
amphibian/reptile,icon,5,1
amphibian/reptile,all,100,20
bat,value,0,0
bat,popular,0,0
bat,premium,100,4
bat,luxury,0,0
bat,icon,0,0
bat,all,100,4
bear,value,0,0
bear,popular,33.33333333,5
bear,premium,53.33333333,8
bear,luxury,6.666666667,1
bear,icon,6.666666667,1
bear,all,100,15
big cat,value,3.076923077,4
big cat,popular,13.84615385,18
big cat,premium,41.53846154,54
big cat,luxury,23.84615385,31
big cat,icon,17.69230769,23
big cat,all,100,130
bird,value,1.277955272,4
bird,popular,30.03194888,94
bird,premium,49.20127796,154
bird,luxury,12.4600639,39
bird,icon,7.028753994,22
bird,all,100,313
camelus,value,0,0
camelus,popular,33.33333333,2
camelus,premium,66.66666667,4
camelus,luxury,0,0
camelus,icon,0,0
camelus,all,100,6
cattle,value,4.166666667,1
cattle,popular,29.16666667,7
cattle,premium,37.5,9
cattle,luxury,20.83333333,5
cattle,icon,8.333333333,2
cattle,all,100,24
crustacean,value,0,0
crustacean,popular,66.66666667,2
crustacean,premium,33.33333333,1
crustacean,luxury,0,0
crustacean,icon,0,0
crustacean,all,100,3
deer-like,value,0,0
deer-like,popular,37.03703704,10
deer-like,premium,40.74074074,11
deer-like,luxury,11.11111111,3
deer-like,icon,11.11111111,3
deer-like,all,100,27
domestic cat,value,12.5,1
domestic cat,popular,12.5,1
domestic cat,premium,62.5,5
domestic cat,luxury,0,0
domestic cat,icon,12.5,1
domestic cat,all,100,8
domestic dog,value,2.941176471,1
domestic dog,popular,26.47058824,9
domestic dog,premium,32.35294118,11
domestic dog,luxury,26.47058824,9
domestic dog,icon,11.76470588,4
domestic dog,all,100,34
elephant,value,0,0
elephant,popular,20,2
elephant,premium,50,5
elephant,luxury,10,1
elephant,icon,20,2
elephant,all,100,10
fish,value,0,0
fish,popular,35.29411765,12
fish,premium,58.82352941,20
fish,luxury,5.882352941,2
fish,icon,0,0
fish,all,100,34
hippopotamus,value,0,0
hippopotamus,popular,100,2
hippopotamus,premium,0,0
hippopotamus,luxury,0,0
hippopotamus,icon,0,0
hippopotamus,all,100,4
horse,value,2.898550725,2
horse,popular,40.57971014,28
horse,premium,36.23188406,25
horse,luxury,15.94202899,11
horse,icon,4.347826087,3
horse,all,100,69
insect,value,1.639344262,1
insect,popular,29.50819672,18
insect,premium,49.18032787,30
insect,luxury,16.39344262,10
insect,icon,3.278688525,2
insect,all,100,61
marsupial,value,75,3
marsupial,popular,0,0
marsupial,premium,25,1
marsupial,luxury,0,0
marsupial,icon,0,0
marsupial,all,100,4
monkey,value,0,0
monkey,popular,40,2
monkey,premium,40,2
monkey,luxury,20,1
monkey,icon,0,0
monkey,all,100,5
mustelid-like,value,0,0
mustelid-like,popular,25,1
mustelid-like,premium,50,2
mustelid-like,luxury,0,0
mustelid-like,icon,25,1
mustelid-like,all,100,4
mythical,value,0,0
mythical,popular,19.71830986,14
mythical,premium,45.07042254,32
mythical,luxury,18.30985915,13
mythical,icon,16.90140845,12
mythical,all,100,71
none,value,1.47968792,110
none,popular,23.60774818,1755
none,premium,47.22894808,3511
none,luxury,18.11945117,1347
none,icon,9.564164649,711
none,all,100,7434
rabbit,value,0,0
rabbit,popular,28.57142857,4
rabbit,premium,50,7
rabbit,luxury,7.142857143,1
rabbit,icon,14.28571429,2
rabbit,all,100,14
ram,value,2.325581395,1
ram,popular,46.51162791,20
ram,premium,37.20930233,16
ram,luxury,6.976744186,3
ram,icon,6.976744186,3
rhino,all,100,43
rhino,value,0,0
rhino,popular,0,0
rhino,premium,75,3
rhino,luxury,0,0
rhino,icon,25,1
rhino,all,100,4
rodent-like,value,0,0
rodent-like,popular,25,1
rodent-like,premium,75,3
rodent-like,luxury,0,0
rodent-like,icon,0,0
rodent-like,all,100,4
shell,value,7.692307692,1
shell,popular,15.38461538,2
shell,premium,69.23076923,9
shell,luxury,0,0
shell,icon,7.692307692,1
shell,all,100,13
suid,value,0,0
suid,popular,40.90909091,9
suid,premium,50,11
suid,luxury,4.545454545,1
suid,icon,4.545454545,1
suid,all,100,22
whale/shark/dolphin,value,0,0
whale/shark/dolphin,popular,63.63636364,7
whale/shark/dolphin,premium,36.36363636,4
whale/shark/dolphin,luxury,0,0
whale/shark/dolphin,icon,0,0
whale/shark/dolphin,all,100,11
wild dog,value,0,0
wild dog,popular,26.66666667,8
wild dog,premium,56.66666667,17
wild dog,luxury,16.66666667,5
wild dog,icon,0,0
wild dog,all,100,30
all,value,1.532248486,129
all,popular,24.21902839,2039
all,premium,47.1314883,3968
all,luxury,17.66243022,1487
all,icon,9.454804609,796
all,all,100,8419